,hwu64_id,utterance,true_intent,scenario,dataset,predicted_intent,confidence
0,1799,Show me all scheduled alarms,alarm:query,alarm,valid,alarm:query,0.9826032519340516
1,6864,Check if alarm is set for 6 AM,alarm:query,alarm,test,alarm:query,0.985588788986206
2,4166,please read me my alarms,alarm:query,alarm,test,alarm:query,0.995850145816803
3,3457,When will my alarm go off in the morning?,alarm:query,alarm,train_nlu,alarm:query,0.9998613595962524
4,6866,Check if I have set any alarm for morning,alarm:query,alarm,test,alarm:query,0.998645007610321
5,4378,Show me the alarms that are set.,alarm:query,alarm,train_ms,alarm:query,0.9991908073425292
6,5249,Please list all my alarms,alarm:query,alarm,train_ms,alarm:query,0.9702267646789552
7,1352,PDA when is my alarm set for?,alarm:query,alarm,test,alarm:query,0.99283766746521
8,1093,Is my work alarm set for tomorrow?,alarm:query,alarm,test,alarm:query,0.939384400844574
9,6819,Is there any alarm active?,alarm:query,alarm,valid,alarm:query,0.9994903802871704
10,509,confirm the alarm time,alarm:query,alarm,train_nlu,alarm:query,0.9989362359046936
11,17347,when was the last alarm set,alarm:query,alarm,test,alarm:query,0.998845875263214
12,6952,Did i set an alarm to have tablets in the noon?,alarm:query,alarm,train_ms,alarm:query,0.949967086315155
13,4538,What time is my alarm set for tomorrow morning?,alarm:query,alarm,valid,alarm:query,0.9960756301879884
14,5383,please tell me what alarms are on.,alarm:query,alarm,train_nlu,alarm:query,0.9997426867485046
15,4289,What time do I have my alarm set for tomorrow?,alarm:query,alarm,train_ms,alarm:query,0.995985746383667
16,4617,What alarms did I set today.,alarm:query,alarm,train_nlu,alarm:query,0.9998153448104858
17,4414,How many alarams are set?,alarm:query,alarm,valid,alarm:query,0.9981343150138856
18,1600,List all the alarms,alarm:query,alarm,valid,alarm:query,0.987445056438446
19,3264,What time are my alarms?,alarm:query,alarm,train_ms,alarm:query,0.9995277523994446
20,510,what alarms are set,alarm:query,alarm,train_nlu,alarm:query,0.9998896718025208
21,2039,What alarms are on right now?,alarm:query,alarm,valid,alarm:query,0.9966320991516112
22,45,what alarms I have set?,alarm:query,alarm,test,alarm:query,0.9998732805252076
23,6472,Tell me when the next alarms are for.,alarm:query,alarm,test,alarm:query,0.9997440576553344
24,3352,what time is alarm set for,alarm:query,alarm,train_nlu,alarm:query,0.99745112657547
25,6482,Just see for me the alarms that you have set today morning.,alarm:query,alarm,train_ms,alarm:query,0.998741865158081
